guideId,description
1.1.1 Non-text Content,"Images, image buttons, and image map hot spots have appropriate, equivalent alternative text.Images that do not convey content, are decorative, or contain content that is already conveyed in text are given empty alternative text (alt="""") or implemented as CSS backgrounds. All linked images have descriptive alternative text.Equivalent alternatives to complex images are provided in context or on a separate linked page.Form buttons have a descriptive value.Inputs have associated accessible names.Embedded multimedia is identified via accessible text.Frames and iframes are appropriately titled. "
1.2.1 Audio-only and Video-only (Prerecorded),"A descriptive transcript of relevant content is provided for non-live audio-only (audio podcasts, MP3 files, etc.).A descriptive transcript or audio description of relevant content is provided for non-live video-only, unless the video is decorative. "
1.2.2 Captions (Prerecorded),"Synchronized captions are provided for non-live video (YouTube videos, etc.). "
1.2.3 Audio Description or Media Alternative (Prerecorded),A descriptive transcript or audio description is provided for non-live video. NOTE: Only required if there is relevant visual content that is not presented in the audio. 
1.2.4 Captions (Live),"Synchronized captions are provided for live media that contains audio (audio-only broadcasts, web casts, video conferences, etc.) "
1.2.5 Audio Description (Prerecorded),"Audio descriptions are provided for non-live video.NOTE: Only required if there is relevant visual content that is not presented in the audio.While not required at Level AA, for optimal accessibility WebAIM recommends descriptive transcripts in addition to audio descriptions. "
1.2.6 Sign Language (Prerecorded),A sign language video is provided for media that contains audio. 
1.2.7 Extended Audio Description (Prerecorded),"When audio description cannot be added to video due to insufficient pauses in the audio, an alternative version of the video with pauses that allow audio descriptions is provided. "
1.2.8 Media Alternative (Prerecorded),"A descriptive transcript is provided for pre-recorded media that has a video track. For optimal accessibility, WebAIM strongly recommends transcripts for all multimedia. "
1.2.9 Audio-only (Live),"A descriptive text transcript (e.g., the script of the live audio) is provided for live content that has audio. "
1.3.1 Info and Relationships,"Semantic markup is appropriately used to designate headings, regions/landmarks, lists, emphasized or special text, etc.Tables are used for tabular data and data cells are associated with their headers. Data table captions, if present, are associated to data tables.Text labels are associated with form inputs. Related form controls are grouped with fieldset/legend. ARIA labelling may be used when standard HTML is insufficient. "
1.3.2 Meaningful Sequence,The reading and navigation order (determined by code order) is logical and intuitive. 
1.3.3 Sensory Characteristics,"Instructions do not rely upon shape, size, or visual location (e.g., ""Click the square icon to continue"" or ""Instructions are in the right-hand column"").Instructions do not rely upon sound (e.g., ""A beeping sound indicates you may continue.""). "
1.3.4 Orientation,"Orientation of web content is not restricted to only portrait or landscape, unless a specific orientation is necessary. "
1.3.5 Identify Input Purpose,Input fields that collect certain types of user information have an appropriate autocomplete attribute defined. 
1.3.6 Identify Purpose,"Regions/landmarks are used to identify page regions.ARIA is used, where appropriate, to enhance HTML semantics to better identify the purpose of interface components. "
1.4.1 Use of Color,"Color is not used as the sole method of conveying content or distinguishing visual elements.Color alone is not used to distinguish links from surrounding text unless the contrast ratio between the link and the surrounding text is at least 3:1 and an additional distinction (e.g., it becomes underlined) is provided when the link is hovered over and receives keyboard focus. "
1.4.2 Audio Control,"A mechanism is provided to stop, pause, mute, or adjust volume for audio that automatically plays on a page for more than 3 seconds. "
1.4.3 Contrast (Minimum),Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. 
1.4.4 Resize text,The page is readable and functional when the page is zoomed to 200%. NOTE: 1.4.10 (below) introduces additional requirements for zoomed content. 
1.4.5 Images of Text,"If the same visual presentation can be made using text alone, an image is not used to present that text. "
1.4.6 Contrast (Enhanced),Text and images of text have a contrast ratio of at least 7:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 4.5:1. 
1.4.7 Low or No Background Audio,Audio with speech has no or very low background noise so the speech is easily distinguished. 
1.4.8 Visual Presentation,Blocks of text over one sentence in length:Are no more than 80 characters wide.Are NOT fully justified (aligned to both the left and the right margins).Have adequate line spacing (at least 1/2 the height of the text) and paragraph spacing (1.5 times line spacing).Have defined or inherited foreground and background colors.Do NOT require horizontal scrolling when the text size is doubled. 
1.4.9 Images of Text (No Exception),Text is used within an image only for decoration (the image does not convey content) OR when the information cannot be presented with text alone. 
1.4.10 Reflow,"No loss of content or functionality occurs, and horizontal scrolling is avoided when content is presented at a width of 320 pixels.This requires responsive design for most web sites. This is best tested by setting the browser window to 1280 pixels wide and then zooming the page content to 400%.Content that requires horizontal scrolling, such as data tables, complex images (such as maps and charts), toolbars, etc. are exempted. "
1.4.11 Non-text Contrast,"A contrast ratio of at least 3:1 is present for differentiating graphical objects (such as icons and components of charts or graphs) and author-customized interface components (such as buttons, form controls, and focus indicators/outlines).At least 3:1 contrast is maintained in the various states (focus, hover, active, etc.) of author-customized interactive components. "
1.4.12 Text Spacing,"No loss of content or functionality occurs when the user adapts paragraph spacing to 2 times the font size, text line height/spacing to 1.5 times the font size, word spacing to .16 times the font size, and letter spacing to .12 times the font size.This is best supported by avoiding pixel height definitions for elements that contain text. "
1.4.13 Content on Hover or Focus,"When additional content is presented on hover or keyboard focus:The newly revealed content can be dismissed (generally via the Esc key) without moving the pointer or keyboard focus, unless the content presents an input error or does not obscure or interfere with other page content.The pointer can be moved to the new content without the content disappearing.The new content must remain visible until the pointer or keyboard focus is moved away from the triggering control, the new content is dismissed, or the new content is no longer relevant. "
2.1.1 Keyboard,"All page functionality is available using the keyboard, unless the functionality cannot be accomplished in any known way using a keyboard (e.g., free hand drawing).Page-specified shortcut keys and accesskeys (accesskey should typically be avoided) do not conflict with existing browser and screen reader shortcuts. "
2.1.2 No Keyboard Trap,Keyboard focus is never locked or trapped at one particular page element. The user can navigate to and from all navigable page elements using only a keyboard. 
2.1.3 Keyboard (No Exception),All page functionality is available using the keyboard. 
2.1.4 Character Key Shortcuts,"If a keyboard shortcut uses printable character keys, then the user must be able to disable the key command, change the defined key to a non-printable key (Ctrl, Alt, etc.), or only activate the shortcut when an associated interface component or button is focused. "
2.2.1 Timing Adjustable,"If a page or application has a time limit, the user is given options to turn off, adjust, or extend that time limit. This is not a requirement for real-time events (e.g., an auction), where the time limit is absolutely required, or if the time limit is longer than 20 hours. "
"2.2.2 Pause, Stop, Hide","Automatically moving, blinking, or scrolling content (such as carousels, marquees, or animations) that lasts longer than 5 seconds can be paused, stopped, or hidden by the user.Automatically updating content (e.g., a dynamically-updating news ticker, chat messages, etc.) can be paused, stopped, or hidden by the user or the user can manually control the timing of the updates. "
2.2.3 No Timing,The content and functionality have no time limits or constraints. 
2.2.4 Interruptions,"Interruptions (alerts, page updates, etc.) can be postponed or suppressed by the user. "
2.2.5 Re-authenticating,"If an authentication session expires, the user can re-authenticate and continue the activity without losing any data from the current page. "
