,ID,webURL,Violation Type,Impact,Description,Affected HTML,prompts_baseline_one,responses_baseline_one
0,1,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/485f10faf222cd48fea2ab3ee79c2d354e51ea33.html,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","In the provided HTML snippet, the image is described using an `alt` attribute with the text ""ERCIM logo."" However, based on the screenshot you provided, the image actually displays the ""W3C"" logo, not the ""ERCIM"" logo. To fix the accessibility issue and comply with the WCAG 2.1 guidelines regarding accurate and meaningful alternative text, you should change the `alt` attribute to correctly describe the image.

Here is the corrected version of the HTML code:

```html
<html lang=""en"">
    <img alt=""W3C logo"" src=""image.png""/>
</html>
```

This correction ensures the alternative text accurately reflects the image displayed, providing a more accessible web experience for users who rely on screen readers or other assistive technologies."
1,2,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/2f7d82593e287df64b7459695e355a840254255c.html,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","To make the SVG code compliant with WCAG 2.1 accessibility guidelines regarding alternative text descriptions, you should revise the `aria-label` in the SVG element to more accurately describe the image and its purpose. Currently, the `aria-label` is ""W3C,"" which does not convey the meaning or purpose of the SVG graphic - the HTML5 logo in this case.

Here is the corrected version of your SVG code:

```html
<html lang=""en"">
<svg aria-label=""HTML5 logo"" role=""img"" viewbox=""0 0 512 512"">
  <path d=""M108.46""></path>
  <path d=""M107.6 "" fill=""#e44d26""></path>
  <path d=""M256 "" fill=""#f16529""></path>
  <path d=""M142 176"" fill=""#ebebeb""></path>
  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>
</svg>
</html>
```

This adjustment changes the `aria-label` to ""HTML5 logo,"" which directly describes what the image represents. This is crucial for users who rely on screen readers to understand visual content on web pages."
2,3,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/bac67a5a2ada971100bbec89961ad3e6c869f268.html,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.," <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>","
    Given the webpage screenshot and the following source code "" <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","To fix the accessibility issue where the alternative text for the canvas element fails to adequately describe the image displayed (in this case, the W3C logo including the trademark), you need to provide a more descriptive and accurate `aria-label`. Since the existing `aria-label` only mentions ""HTML 5 logo,"" but the image is actually the ""W3C logo"", an accurate and purposeful alternative text must reflect this discrepancy.

Here's how the HTML tag for the canvas should be updated to better describe its content according to WCAG 2.1 guidelines for providing text alternatives:

```html
<canvas aria-label=""W3C organization logo with registered trademark symbol"" height=""48"" id=""logo"" width=""72""></canvas>
```

This `aria-label` explains exactly what is depicted in the image (the W3C organization's logo), including the detail about the trademark symbol, which is crucial for a complete understanding of what the image represents. It’s important for alternative text to convey not only the visual aspect but also any meaningful content that the image communicates, especially when trademark or branding elements are involved."
3,4,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/b1a2ce0c3435765e96d31a3262f1ed8c1d92f817.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To address the accessibility issue regarding the page language attribute in the source code you provided, you need to ensure that the language declared in the `<html>` tag matches the actual language of the content. The screenshot confirms that the content is in English, but the HTML tag in your source code specifies ""da"" (Danish). To fix this, you should change the `lang` attribute to ""en"" for English. Here is the corrected part of your source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""en"">
<head>
<title>ACT Rules Format 1.0 - Abstract</title>
</head>
<body>
<p>
The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It provides a common format that allows any party involved in accessibility testing to document and share their testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing methods, including methods implemented by accessibility test tools.
</p>
</body>
</html>
```

By making this change, you are ensuring that browsers and assistive technologies can appropriately interpret the language of the content, which is critical for users relying on text-to-speech or similar aids. This correction aligns with WCAG 2.1 guidance regarding language of web pages."
4,5,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/6616b9ffd712e7789c50b01da8420fd665786677.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","In the provided HTML source code, the primary language of the webpage is set to English (`lang=""en""`). However, the webpage contains content (the phrase ""Hij ging met de kippen op stok"") that is in Dutch. This can lead to a mismatch between the declared language and the actual language of part of the content, potentially confusing users and assistive technologies.

To fix this accessibility issue, the `lang` attribute should be properly set for each part of the content according to its language. Here is the modified HTML code:

```html
<!–– Accessibility Violation starts here ––>
<html lang=""en"">
<head>
<title>Met de kippen op stok</title>
</head>
<body>
<blockquote>
  <!-- Set the lang attribute to ""nl"" for Dutch content -->
  <p lang=""nl"">""Hij ging met de kippen op stok""</p>
</blockquote>
<p>This Dutch phrase literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.</p>
</body>
</html>
```

In this correction:
- I added `lang=""nl""` to the `<p>` tag containing the Dutch phrase. This change informs screen readers and other assistive technologies about the language switch, enabling them to handle the pronunciation and other language-specific processes correctly.
- For clarity and maintainability, I removed the unnecessary setting of English (`lang=""en""`) on the other paragraph as the `lang` attribute on the `<html>` tag already defaults the content language to English."
5,6,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/61b97f487132c7aca3dd9787e9ff1454903d45fb.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","The content of the webpage specifies that the language is Dutch as indicated by the `<html lang=""nl"">`, although the majority of the content is in English except for the one word ""gelukkig"", which is Dutch. According to WCAG 2.1, the language specified in the `lang` attribute should match the primary language of the webpage content, which enhances accessibility for screen readers and other assistive technologies.

To fix the accessibility issue, change the language attribute to ""en"" since most of the content is in English. Modify the Dutch word ""gelukkig"" to explicitly specify its language inline. Here’s how you can revise the HTML code:

```html
<! –– Fixed Accessibility Violation ––>
<html lang=""en"">
  <head>
    <title>Happy</title>
  </head>
  <body>
    <p>The Dutch word <span lang=""nl"">gelukkig</span> has no equivalent in English.</p>
  </body>
</html>
```

This updated code sets the page's language to English (`lang=""en""`) and specifically notes that the word ""gelukkig"" is in Dutch (`<span lang=""nl"">gelukkig</span>`). This change helps assistive technology provide the correct pronunciation for the Dutch word, improving the accessibility of the webpage.
"
6,7,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/c4eaf50df4fa37f931374c74ac369a018b780ec6.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","The text in the body of your webpage screenshot indicates that the content is using the Dutch language; ""Gelukkig nieuwjaar"" means ""Happy New Year"" in Dutch. However, the language specified in the `<html>` tag must accurately reflect the main language of the webpage to meet the accessibility success criteria according to the Web Content Accessibility Guidelines (WCAG) 2.1. 

In your provided HTML code, you have set the language attribute in the `<html>` tag to ""nl"" (Dutch), which is consistent with your webpage content:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl"">
<head>
<title>Fireworks over Paris</title>
</head>
<body>
<img alt=""Fireworks over Paris"" src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>
<p lang=""nl"">
Gelukkig nieuwjaar!
</p>
</body>
</html>
```

If the issue pointed to the language attribute not matching because only the image is related to Paris (French content), not the language of the text itself, then your HTML code is actually correct in setting the language as ""nl"", because the text content is indeed in Dutch. 

If this is the case, there isn't an accessibility issue regarding the language attribute not matching the content here, as the set language of ""Dutch"" matches the text ""Gelukkig nieuwjaar!"". Make sure to apply correct language attributes consistently if other languages are present in larger portions of content on the same page or in a different context."
7,8,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/864ccfb9bdb2c7f797602c5e4f25d1a0ad2aad7c.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To address the accessibility issue in the provided HTML code related to the mismatch between the page language attribute and the actual language of the content, the changes involve correcting the `lang` attributes to ensure they accurately reflect the language used in the content of the webpage.

Here’s the corrected version of the source code:

```html
<! –– Accessibility Fixed ––>
<html lang=""en"">   <!-- Update the language attribute to English because the content is in English -->
<head>
<title>Paris</title>
</head>
<body>
<img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg""/>
<p hidden="""" id=""caption"" lang=""en""> <!-- Lang attribute is correctly 'en' as the text is in English -->
Fireworks over Paris!
</p>
</body>
</html>
```

**Corrections and Explanations:**
1. **Page Language:** The original HTML tag `<html lang=""nl"">` had the language set to Dutch (`nl`), which should be corrected to English (`en`) since the caption content ""Fireworks over Paris!"" is in English.
2. **Content Language within Elements:** The `<p>` tag holding the caption text was already correctly marked with `lang=""en""`. I left this alone as it correctly specifies the language of its content.

These changes help ensure that screen readers and other assistive technologies can accurately interpret the webpage content according to its specified language, thereby aligning with WCAG 2.1 regulations regarding accessibility."
8,9,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/b1765660b28464b5a73e502ef30b7370ba294ff5.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","The accessibility issue in the HTML source code you've provided concerns the incorrect use of the language attribute. The main content of the page is described in Dutch, but the `lang` attribute of the `<html>` element is set to ""es"" (Spanish). To correct this and adhere to WCAG 2.1 guidelines concerning language attributes, you should set the language attribute to ""nl"" (Dutch) for the `<html>` element to correctly represent the page's principal language. Here is the corrected source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl"">
<head>
  <title> Stranddorp </title>
</head>
<body>
  <article>
    Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.
  </article>
</body>
</html>
```

Additionally, because the content described within the `<article>` tag is also in Dutch, there is no need for a separate `lang` attribute on the `<article>` unless it deviates from the main language of the document. Therefore, I have removed the `lang=""dutch""` attribute from the `<article>` tag in the corrected version."
9,10,https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/49b66676ed867c75368e31c1e06b28255df8089e.html,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue identified in the source code, you should ensure that the `lang` attribute of the `<article>` element appropriately reflects the language of the content within it. In this case, the content within the article tag is in English, but the `lang` attribute is incorrectly set as `#!`. This mismatch can lead to problems with screen readers and other assistive technologies that rely on language attributes to provide correct pronunciation, grammar, and so on.

You should update the source code as follows:

```html
<html lang=""en"">
<body>
<!-- Accessibility Violation starts here -->
<article lang=""en"">
They wandered into a strange Tiki bar on the edge of the small beach town.
</article>
</body>
</html>
```

In this corrected version, both the `<html>` and `<article>` tags correctly specify `lang=""en""`, which reflects that the content is in English. This change will help in meeting WCAG 2.1 criteria for language attributes, ensuring that the webpage is more accessible to users with assistive technologies."
