ID,Violation Type,Impact,Description,Affected HTML,prompts_baseline_one,responses_baseline_one
1,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","Certainly! To address the accessibility issue related to the success criteria for inaccurate or misleading alternative text, you need to ensure that the `alt` attribute of the image provides a meaningful description of the image's content. According to WCAG 2.1, the alternative text should accurately describe the purpose or content of the image.

Here is the corrected source code with an appropriate `alt` attribute:

```html
<html lang=""en"">
    <img alt=""W3C logo"" src=""image.png""/>
</html>
```

In this example, ""W3C logo"" accurately describes the image, making it more accessible to users who rely on screen readers or other assistive technologies."
2,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","To address the accessibility issue related to the success criteria of providing accurate and meaningful alternative text for images according to WCAG 2.1, you need to ensure that the SVG element has a meaningful `aria-label` or `title` attribute that describes its purpose.

Given the SVG code you provided, the `aria-label` attribute is already included, but its value (""W3C"") might not be descriptive enough on its own. You can improve this by making the alternative text more descriptive.

Here is an example of the modified code with a more descriptive `aria-label`:

```html
<html lang=""en"">
  <svg aria-label=""World Wide Web Consortium logo"" role=""img"" viewbox=""0 0 512 512"">
    <path d=""M108.46""></path>
    <path d=""M107.6 "" fill=""#e44d26""></path>
    <path d=""M256 "" fill=""#f16529""></path>
    <path d=""M142 176"" fill=""#ebebeb""></path>
    <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>
  </svg>
</html>
```

Additionally, you can use the `title` attribute to provide more context if needed:

```html
<html lang=""en"">
  <svg aria-label=""World Wide Web Consortium logo"" role=""img"" title=""World Wide Web Consortium (W3C) logo"" viewbox=""0 0 512 512"">
    <path d=""M108.46""></path>
    <path d=""M107.6 "" fill=""#e44d26""></path>
    <path d=""M256 "" fill=""#f16529""></path>
    <path d=""M142 176"" fill=""#ebebeb""></path>
    <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>
  </svg>
</html>
```

This way, the SVG element now provides a more descriptive and accurate alternative text, which enhances accessibility for users relying on screen readers."
3,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.," <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>","
    Given the webpage screenshot and the following source code "" <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","To address the accessibility issue related to the success criteria for accurate and meaningful alternative text, you need to ensure that the `aria-label` attribute provides a clear and concise description of the image's purpose. The current `aria-label` is ""HTML 5 logo,"" which might not be accurate if the image is not specifically representing the HTML5 logo.

Here is the corrected code with an improved `aria-label`:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Canvas Image Example</title>
</head>
<body>
    <canvas aria-label=""Logo"" height=""48"" id=""logo"" width=""72""></canvas>
    <script>
        const img = new Image();
        img.src = '/logo.png';
        img.onload = function() {
            const ctx = document.querySelector('#logo').getContext('2d');
            ctx.drawImage(img, 0, 0, 72, 48);
        }
    </script>
</body>
</html>
```

### Explanation:
1. **Accessibility Label**: The `aria-label` attribute is updated to ""Logo."" This is a more general and accurate description that indicates the image is a logo without making assumptions about what the logo represents.
2. **HTML Structure**: The rest of the HTML structure remains unchanged, ensuring that the image is still loaded and displayed correctly.

By providing a more accurate and meaningful alternative text, you improve the accessibility of your webpage for users who rely on screen readers or other assistive technologies."
4,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","The accessibility issue you've mentioned is related to the ""Page language attribute does not match the actual language of the content,"" which is a criterion under WCAG 2.1. To fix this issue, you need to ensure that the `lang` attribute in the `<html>` tag accurately reflects the language of the content.

Here is the corrected source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""en"">  <!-- Changed 'lang=""da""' to 'lang=""en""' -->
  <head>
    <title>ACT Rules Format 1.0 - Abstract</title>
  </head>
  <body>
    <p>
      The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test
      rules. These test rules can be used for developing automated testing tools and manual testing methodologies.
      It provides a common format that allows any party involved in accessibility testing to document and share their
      testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing
      methods, including methods implemented by accessibility test tools.
    </p>
  </body>
</html>
```

Ensure that the `lang` attribute in the `<html>` tag matches the actual language of the content. If the content is in Danish, you should use `lang=""da""`. If it is in English, use `lang=""en""`, and so on. Adjust the `lang` attribute according to the actual language of your content."
5,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" as per WCAG 2.1, you need to make sure that the `lang` attribute in the `<html>` tag matches the language of the content. In this case, the content is primarily in Dutch, so the `lang` attribute should be set to ""nl"".

Here is the corrected source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl""> 
  <head>
    <title>Met de kippen op stok</title>
  </head>
  <body>
    <blockquote>
      <p>""Hij ging met de kippen op stok""</p>
    </blockquote>
    <p lang=""en"">
      This Dutch phrase literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.
    </p>
  </body>
</html>
```

In this corrected version, the `lang` attribute in the `<html>` tag is set to ""nl"" to indicate that the primary language of the content is Dutch. This addresses the accessibility violation related to the mismatched language attribute."
6,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" according to WCAG 2.1, you need to ensure that the `lang` attribute in the `<html>` tag matches the actual language of the content.

In your case, the content is in Dutch, so the `lang` attribute should be set to `nl` (Dutch).

Here is the corrected HTML code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl"">
  <head>
    <title>Happy</title>
  </head>
  <body>
    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>
  </body>
</html>
```

By ensuring that the `lang=""nl""` attribute matches the actual language of the content, you resolve the accessibility issue and meet the WCAG 2.1 success criteria."
7,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" according to WCAG 2.1, you need to ensure that the `lang` attribute in the `<html>` tag matches the language of the content. In this case, the content is in Dutch, so the `lang` attribute should be set to ""nl"".

Here is the corrected source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl"">
  <head>
    <title>Fireworks over Paris</title>
  </head>
  <body>
    <img alt=""Fireworks over Paris"" src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>
    <p lang=""nl"">
      Gelukkig nieuwjaar!
    </p>
  </body>
</html>
```

By setting the `lang` attribute of the `<html>` tag to ""nl"", you ensure that the language of the entire page is correctly identified as Dutch, which aligns with the actual language of the content."
8,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" according to WCAG 2.1, you need to ensure that the `lang` attribute in the `<html>` tag matches the language of the content. In this case, the image caption is in English, so the `lang` attribute should be set to ""en"".

Here is the corrected source code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""en"">
<head>
    <title>Paris</title>
</head>
<body>
    <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg"" />
    <p hidden=""true"" id=""caption"" lang=""en"">Fireworks over Paris!</p>
</body>
</html>
```

Changes made:
1. Changed the `lang` attribute in the `<html>` tag to ""en"".
2. Corrected the `hidden` attribute to `hidden=""true""` for proper HTML syntax."
9,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content"" according to WCAG 2.1, you need to ensure that the `lang` attribute in the `<html>` tag matches the actual language of the content. In your case, the content is in Dutch, so the `lang` attribute should be set to ""nl"".

Here is the corrected code:

```html
<! –– Accessibility Violation starts here ––>
<html lang=""nl"">
<head>
    <title> Stranddorp </title>
</head>
<body>
    <article lang=""dutch"">
        Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.
    </article>
</body>
</html>
```

This ensures that the language of the entire page is correctly identified as Dutch, which aligns with the actual language of the content."
10,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","The accessibility issue indicated in the source code is that the `lang` attribute in the `<html>` tag does not match the actual language of the content. According to WCAG 2.1, the `lang` attribute should correctly represent the language of the content for accessibility purposes.

Here’s how to fix the accessibility issue:

1. Ensure the `lang` attribute in the `<html>` tag matches the primary language of the content.
2. Correct the accessibility violation comment and ensure proper `lang` attributes where needed.

Here is the corrected source code:

```html
<!DOCTYPE html>
<html lang=""en"">
<body>
  <!-- Accessibility Violation starts here -->
  <article lang=""en"">
    They wandered into a strange Tiki bar on the edge of the small beach town.
  </article>
</body>
</html>
```

In this correction:
- The `lang` attribute in the `<html>` tag is set to ""en"" to indicate that the primary language of the content is English.
- The `lang` attribute in the `<article>` tag is also set to ""en"" to match the language of the content.

These changes ensure that the `lang` attributes correctly represent the language of the content, hence complying with WCAG 2.1 accessibility guidelines."
