ID,Violation Type,Impact,Description,Affected HTML,prompts_baseline_one,responses_baseline_one
1,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","The alternative text for the image is currently set to ""ERCIM logo"". However, the purpose of the image is not clear from this text. To fix the accessibility issue, the alternative text should accurately describe the purpose of the image. For example, if the image is a logo for a company, the alternative text could be ""Company logo"". If the image is a picture of a person, the alternative text could be ""Person's portrait"". If the image is a diagram or chart, the alternative text could be ""Diagram of [description of diagram]"". By providing a clear and accurate alternative text, users who rely on screen readers or other assistive technologies can better understand the purpose of the image and access its content."
2,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>","
    Given the webpage screenshot and the following source code ""<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","The provided source code contains an SVG image with paths and fills, but it does not include any alternative text (alt attribute) to describe the purpose of the image. To fix the accessibility issue, you should add an alt attribute to the SVG element with a descriptive text that conveys the purpose of the image.

Here is the corrected source code:

```html
<html lang=""en"">
  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"" alt=""W3C HTML5 logo"">
    <path d=""M108.46""></path>
    <path d=""M107.6 "" fill=""#e44d26""></path>
    <path d=""M256 "" fill=""#f16529""></path>
    <path d=""M142 176"" fill=""#ebebeb""></path>
    <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>
  </svg>
</html>
```

In this corrected code, the `alt` attribute has been added to the SVG element, providing a descriptive text ""W3C HTML5 logo"" that conveys the purpose of the image. This will help users with visual impairments understand the content of the image when it is read aloud by a screen reader."
3,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.," <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>","
    Given the webpage screenshot and the following source code "" <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>"", can you fix the accessibility issue related to the success criteria: ( Inaccurate or misleading alternative text that fails to describe the purpose of the image. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria, you can add an `alt` attribute to the `<canvas>` element with a descriptive text that accurately describes the purpose of the image. Here's the updated code:
```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <title>Canvas Image Example</title>
</head>
<body>
  <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"" alt=""HTML 5 logo"">
    <img src=""/logo.png"" alt=""HTML 5 logo"" />
  </canvas>
  <script>
    const img = new Image();
    img.src = '/logo.png';
    img.onload = function() {
      const ctx = document.querySelector('#logo').getContext('2d');
      ctx.drawImage(img, 0, 0, 72, 48);
    }
  </script>
</body>
</html>
```

In this updated code, the `<canvas>` element now has an `alt` attribute with the text ""HTML 5 logo"". This text accurately describes the purpose of the image and helps users with visual impairments understand the content of the image."
4,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content.), you can update the `lang` attribute in the HTML `<html>` tag to match the actual language of the content. In this case, the content is in Danish, so you should change the `lang` attribute to ""da"". Here is the updated code:
```html
<!DOCTYPE html>
<html lang=""da"">
  <head>
    <title>ACT Rules Format 1.0 - Abstract</title>
  </head>
  <body>
    <p>
      The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It provides a common format that allows any party involved in accessibility testing to document and share their testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing methods, including methods implemented by accessibility test tools.
    </p>
  </body>
</html>
```

This will ensure that the page language attribute matches the actual language of the content, which will improve accessibility for users who rely on language settings in their web browsers."
5,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can add the `lang` attribute to the `blockquote` element and set its value to `en` (English). Here's the updated code:
```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <title>Met de kippen op stok</title>
</head>
<body>
  <blockquote lang=""en"">
    <p>""Hij ging met de kippen op stok""</p>
  </blockquote>
  <p lang=""en"">This Dutch phrase literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.</p>
</body>
</html>
```

By adding the `lang` attribute to the `blockquote` element and setting its value to `en`, you are indicating that the content within the `blockquote` element is in English, which matches the actual language of the content. This will help ensure that screen readers and other assistive technologies can properly interpret the content and provide accurate information to users with disabilities."
6,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can add the language attribute to the HTML tag and set it to the language of the content. In this case, the language of the content is Dutch, so you can add the following code to the HTML tag:

```html
<!DOCTYPE html>
<html lang=""nl"">
<head>
  <title>Happy</title>
</head>
<body>
  <p>The Dutch word ""gelukkig"" has no equivalent in English.</p>
</body>
</html>
```

This will set the language attribute to ""nl"" (which stands for Dutch) and ensure that the language attribute matches the actual language of the content."
7,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria ""Page language attribute does not match the actual language of the content,"" you can add the `lang` attribute to the `html` element and set it to the language of the content. In this case, the content is in Dutch, so you should set the `lang` attribute to `nl`. Here's the updated code:
```html
<!DOCTYPE html>
<html lang=""nl"">
  <head>
    <title>Fireworks over Paris</title>
  </head>
  <body>
    <img alt=""Fireworks over Paris"" src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>
    <p lang=""nl"">Gelukkig nieuwjaar!</p>
  </body>
</html>
```

By adding the `lang` attribute to the `html` element and setting it to `nl`, you are indicating that the content is in Dutch, which matches the language of the content. This will help ensure that the page is accessible to users who are using assistive technologies and can understand the language of the content."
8,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > ","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > "", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content.), you can change the `lang` attribute in the `html` element to match the actual language of the content. In this case, the content is in Dutch, so you can change the `lang` attribute to `nl` (which stands for Dutch). Here is the updated code:
```html
<!DOCTYPE html>
<html lang=""nl"">
<head>
  <title>Paris</title>
</head>
<body>
  <img src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg"" alt=""Fireworks over Paris!"" />
  <p id=""caption"" lang=""en"">Fireworks over Paris!</p>
</body>
</html>
```

Note that the `alt` attribute has been added to the `img` element to provide alternative text for the image in case it cannot be displayed."
9,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code ""<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content.), you can change the `lang` attribute of the `html` element to match the actual language of the content. In this case, the content is in Dutch, so you can change the `lang` attribute to `nl` (which stands for Dutch). Here's the updated code:
```html
<!DOCTYPE html>
<html lang=""nl"">
<head>
  <title>Stranddorp</title>
</head>
<body>
  <article lang=""dutch"">
    Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.
  </article>
</body>
</html>
```

This code now correctly sets the `lang` attribute of the `html` element to `nl`, which matches the actual language of the content."
10,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","
    Given the webpage screenshot and the following source code "" <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>"", can you fix the accessibility issue related to the success criteria: ( Page language attribute does not match the actual language of the content. ) according to WCAG 2.1?
    ","To fix the accessibility issue related to the success criteria: (Page language attribute does not match the actual language of the content), you can change the `lang` attribute in the `article` element to match the actual language of the content. In this case, the content is in English, so you can change the `lang` attribute to `en`. Here's the fixed code:
```html
<html lang=""en"">
  <body>
    <article lang=""en"">
      They wandered into a strange Tiki bar on the edge of the small beach town.
    </article>
  </body>
</html>
```

This will ensure that the page language attribute matches the actual language of the content, which will improve accessibility for users who rely on screen readers or other assistive technologies."
