ID,Violation Type,Impact,Description,Affected HTML,prompts_baseline_two,responses_baseline_two
1,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/485f10faf222cd48fea2ab3ee79c2d354e51ea33.html
        Error: image-alt-not-descriptive
        Description: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Suggested change: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Incorrect: <html lang=""en"">    <img alt=""ERCIM logo"" src=""image.png""/>    </html>
        ","The image in the screenshot has the following HTML code:

```html
<html lang=""en"">
    <img alt=""ERCIM logo"" src=""image.png""/>
</html>
```

The error message ""image-alt-not-descriptive"" indicates that the alternative text for the image is not descriptive enough. The alternative text ""ERCIM logo"" does not clearly describe the purpose of the image, which is the W3C logo. A more descriptive alternative text could be ""W3C logo"" or ""World Wide Web Consortium logo.""

To correct the error, you can change the alternative text to something more descriptive, like this:

```html
<html lang=""en"">
    <img alt=""W3C logo"" src=""image.png""/>
</html>
```

This change will make the alternative text more descriptive and help users understand the purpose of the image."
2,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.,"<html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/2f7d82593e287df64b7459695e355a840254255c.html
        Error: image-alt-not-descriptive
        Description: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Suggested change: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Incorrect: <html lang=""en"">  <svg aria-label=""W3C"" role=""img"" viewbox=""0 0 512 512"">  <path d=""M108.46""></path>  <path d=""M107.6 "" fill=""#e44d26""></path>  <path d=""M256 "" fill=""#f16529""></path>  <path d=""M142 176"" fill=""#ebebeb""></path>  <path d=""M369.613.6v47.2l93-25.8"" fill=""#fff""></path>  </svg>  </html>
        ","The image in the screenshot is the logo for HTML5, which is a standard for structuring and presenting content on the World Wide Web. The logo consists of the number ""5"" inside an orange shield, with the word ""HTML"" written above it.

To correct the error ""image-alt-not-descriptive,"" the alternative text (alt text) for the image should accurately describe the purpose of the image. In this case, the alt text could be:

""HTML5 logo""

This alt text clearly and accurately describes the content of the image, which is the logo for HTML5."
3,image-alt-not-descriptive,Critical,Inaccurate or misleading alternative text that fails to describe the purpose of the image.," <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/qt1vmo/bac67a5a2ada971100bbec89961ad3e6c869f268.html
        Error: image-alt-not-descriptive
        Description: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Suggested change: Inaccurate or misleading alternative text that fails to describe the purpose of the image.
        Incorrect:  <!DOCTYPE html>     <html lang=""en"">     <head>     <meta charset=""UTF-8"">     <! –– Accessibility Violation starts here ––>   <title> Canvas Image Example</title>     </head>     <body>     <canvas aria-label=""HTML 5 logo"" height=""48"" id=""logo"" width=""72"">    </canvas>     <script>     const img = new Image(); img.src = &#x27;/logo.png&#x27;; img.onload = function() { const ctx = document.querySelector(&#x27;#logo&#x27;).getContext(&#x27;2d&#x27;); ctx.drawImage(img, 0, 0, 72, 48); } </script>     </body>     </html>
        ","The image in the provided HTML code is a canvas element with an `aria-label` attribute set to ""HTML 5 logo."" However, the `aria-label` attribute is not descriptive of the purpose of the image. The `aria-label` attribute should provide a clear and concise description of the image's content or purpose. In this case, a more descriptive `aria-label` could be ""HTML 5 logo image.""

To correct this issue, you can change the `aria-label` attribute to something more descriptive, such as:

```html
<canvas aria-label=""HTML 5 logo image"" height=""48"" id=""logo"" width=""72"">
</canvas>
```

This change will make the `aria-label` attribute more descriptive and help users understand the purpose of the image."
4,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/b1a2ce0c3435765e96d31a3262f1ed8c1d92f817.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect:  <! –– Accessibility Violation starts here ––>   <html lang=""da"">  <head>  <title>ACT Rules Format 1.0 - Abstract</title>  </head>  <body>  <p>  The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test  rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It  provides a common format that allows any party involved in accessibility testing to document and share their  testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing  methods, including methods implemented by accessibility test tools.  </p>  </body>  </html>
        ","The error message indicates that the language attribute in the HTML does not match the actual language of the content. The HTML code specifies the language as ""da"" (Danish), but the content is in English. To fix this issue, you should change the `lang` attribute to match the actual language of the content. In this case, you should change it to `lang=""en""` to indicate that the content is in English.

Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <title>ACT Rules Format 1.0 - Abstract</title>
</head>
<body>
  <p>
    The Accessibility Conformance Testing (ACT) Rules Format 1.0 defines a format for writing accessibility test rules. These test rules can be used for developing automated testing tools and manual testing methodologies. It provides a common format that allows any party involved in accessibility testing to document and share their testing procedures in a robust and understandable manner. This enables transparency and harmonization of testing methods, including methods implemented by accessibility test tools.
  </p>
</body>
</html>
```

By changing the `lang` attribute to `en`, the error will be resolved, and the language attribute will match the actual language of the content."
5,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"  <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/6616b9ffd712e7789c50b01da8420fd665786677.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect:   <! –– Accessibility Violation starts here ––>              <html lang=""en"">  <head>  <title>Met de kippen op stok</title>  </head>  <body>  <blockquote>  <p>""Hij ging met de kippen op stok""</p>  </blockquote>  <p lang=""en"">  This Dutch phrase literally translates into ""  He went to roost with the chickens"", but it means   that he went to bed early.  </p>  </body>  </html>
        ","The error in the webpage screenshot is ""lang-mismatch"". This means that the language attribute specified in the HTML (`lang=""en""`) does not match the actual language of the content. The content is in Dutch, but the language attribute is set to ""en"" (English).

To fix this issue, you should change the language attribute to ""nl"" (Dutch) to match the actual language of the content. Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""nl"">
<head>
  <title>Met de kippen op stok</title>
</head>
<body>
  <blockquote>
    <p>""Hij ging met de kippen op stok""</p>
  </blockquote>
  <p lang=""nl"">
    This Dutch phrase literally translates into ""He went to roost with the chickens"", but it means that he went to bed early.
  </p>
</body>
</html>
```

This code sets the language attribute to ""nl"" and removes the `<p>` element with the `lang=""en""` attribute, as it is not necessary in this case."
6,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/61b97f487132c7aca3dd9787e9ff1454903d45fb.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>                  <html lang=""nl"">  <head>  <title>Happy</title>  </head>  <body>    <p>The Dutch word    <! –– Accessibility Violation starts here ––>   ""gelukkig"" has no equivalent in English.</p>  </body>  </html>
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML document does not match the actual language of the content. In this case, the language attribute is set to ""nl"" (Dutch), but the content is in English. To fix this issue, you should change the language attribute to ""en"" (English) to match the actual language of the content. Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <title>Happy</title>
</head>
<body>
  <p>The Dutch word ""gelukkig"" has no equivalent in English.</p>
</body>
</html>
```

This code sets the language attribute to ""en"" and removes the incorrect language attribute ""nl""."
7,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  ","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/c4eaf50df4fa37f931374c74ac369a018b780ec6.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>    <html lang=""nl"">  <head>  <title>Fireworks over Paris</title>  </head>  <body>  <img alt=""Fireworks over Paris""   src=""/WAI/content-assets/wcag-act-rules/test-assets/shared/fireworks.jpg""/>  <p lang=""nl"">  Gelukkig nieuwjaar!  </p>  </body>  </html>  
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In the provided HTML code, the language attribute is set to ""nl"" (Dutch), but the content is in Dutch as well. Therefore, the error is not applicable in this case.

However, if the content were in a different language, the suggested change would be to update the language attribute to match the actual language of the content."
8,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > ","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/ucwvc8/864ccfb9bdb2c7f797602c5e4f25d1a0ad2aad7c.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>   <html lang=""nl"">  <head>  <title>Paris</title>  </head>  <body>  <img aria-labelledby=""caption"" src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg ""/ >    <p hidden="" "" id="" caption "" lang= "" en "" >   Fireworks over Paris!    < /p >    < /body >    < /html > 
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In this case, the language attribute is set to ""nl"" (Dutch), but the content is in English. To fix this issue, you should change the language attribute to ""en"" (English). Here is the corrected code:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <title>Paris</title>
</head>
<body>
  <img src=""https://www.bvjhostelparis.com/wp-content/uploads/2017/07/PARIS-FIRE-WORKS.jpg"" alt=""Fireworks over Paris!"">
  <p id=""caption"" lang=""en"">Fireworks over Paris!</p>
</body>
</html>
```

In this corrected code, the language attribute is set to ""en"" and the content is also in English, so the language attribute matches the actual language of the content."
9,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/b1765660b28464b5a73e502ef30b7370ba294ff5.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>    <html lang=""es"">  <head>  <title> Stranddorp </title>  </head>  <body>  <article lang=""dutch"">  Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.  </article>  </body>  </html>
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In this case, the language attribute is set to ""es"" (Spanish) but the content is in Dutch.

To fix this issue, you should change the language attribute to ""nl"" (Dutch) to match the actual language of the content. Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""nl"">
<head>
  <title>Stranddorp</title>
</head>
<body>
  <article>
    Zij liepen een vreemde Tiki bar binnen, aan de rand van een dorpje aan het strand.
  </article>
</body>
</html>
```

This code sets the language attribute to ""nl"" and the content is in Dutch, which should resolve the ""lang-mismatch"" error."
10,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.," <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/49b66676ed867c75368e31c1e06b28255df8089e.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect:  <html lang=""en"">  <body>  <! –– Accessibility Violation starts here ––>   <article lang=""#!"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In the provided code snippet, the language attribute is set to ""en"" (English), but the content is in English, so there is no mismatch.

However, the content is not in English. The text ""They wandered into a strange Tiki bar on the edge of the small beach town."" is in English, but the language attribute should be set to the language of the content. Since the content is in English, the language attribute should be set to ""en"" as well.

To fix the error, you should change the language attribute to ""en"" in the HTML code:

```html
<html lang=""en"">
  <body>
    <article lang=""en"">
      They wandered into a strange Tiki bar on the edge of the small beach town.
    </article>
  </body>
</html>
```

This will ensure that the language attribute matches the actual language of the content."
11,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""  "">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/78de8b1ca470302aebb53065c32eddf08da008b5.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>    <html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""  "">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </article>  </body>  </html>
        ","The error message indicates that the page language attribute does not match the actual language of the content. In the provided HTML code, the `lang` attribute is set to ""fr"" for the `html` element, but the content within the `article` element is in English. This is an accessibility violation because it makes it difficult for users who rely on screen readers or other assistive technologies to understand the content.

To fix this issue, you should set the `lang` attribute of the `html` element to the language of the content. In this case, since the content is in English, you should set the `lang` attribute to ""en"" (English). Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Page Title</title>
</head>
<body>
    <article>
        They wandered into a strange Tiki bar on the edge of the small beach town.
    </article>
</body>
</html>
```

By setting the `lang` attribute of the `html` element to ""en"", you ensure that the language attribute matches the actual language of the content, which improves accessibility for users with assistive technologies."
12,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""english"">  <p aria-hidden=""true"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/795698c08fc5d404b649d0c367bedc3e83462d43.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <! –– Accessibility Violation starts here ––>    <html lang=""es"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""english"">  <p aria-hidden=""true"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In this case, the language attribute is set to ""es"" (Spanish) while the content is in English. To fix this issue, you should change the language attribute to ""en"" (English). Here is the corrected HTML code:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <title>Page Title</title>
</head>
<body>
  <article lang=""en"">
    <p aria-hidden=""true"">They wandered into a strange Tiki bar on the edge of the small beach town.</p>
  </article>
</body>
</html>
```

By changing the language attribute to ""en"", the error will be resolved, and the page will be accessible to users who expect the content to be in English."
13,lang-mismatch,Serious,Page language attribute does not match the actual language of the content.,"<html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""English"">  <p style=""position: absolute; top: 1px"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>","Given the webpage screenshot and You are operating on this website: https://www.w3.org/WAI/content-assets/wcag-act-rules/testcases/de46e4/d8ba52b5fa5e123def1f778821219aaec20ca0fe.html
        Error: lang-mismatch
        Description: Page language attribute does not match the actual language of the content.
        Suggested change: Page language attribute does not match the actual language of the content.
        Incorrect: <html lang=""fr"">  <body>  <! –– Accessibility Violation starts here ––>    <article lang=""English"">  <p style=""position: absolute; top: 1px"">  They wandered into a strange Tiki bar on the edge of the   small beach town.  </p>  </article>  </body>  </html>
        ","The error message ""lang-mismatch"" indicates that the language attribute specified in the HTML does not match the actual language of the content. In this case, the language attribute is set to ""fr"" (French) but the content is in English. To fix this, you should change the language attribute to ""en"" (English). Here is the corrected HTML code:

```html
<html lang=""en"">
  <body>
    <article lang=""English"">
      <p style=""position: absolute; top: 1px"">
        They wandered into a strange Tiki bar on the edge of the small beach town.
      </p>
    </article>
  </body>
</html>
```

This will ensure that the language attribute matches the actual language of the content."
